,Action,Alpha,Epsilon,Error,Max V,Mean V,Reward,State,Time
59,0,0.05526834771623851,0.5526834771623851,0.0,0.0,0.0,0.0,5,0.009000062942504883
60,2,0.054715664239076124,0.5471566423907612,0.0,0.0,0.0,0.0,5,0.009000062942504883
61,0,0.054168507596685365,0.5416850759668536,0.0,0.0,0.0,0.0,5,0.009000062942504883
62,2,0.053626822520718515,0.536268225207185,0.0,0.0,0.0,0.0,5,0.009000062942504883
63,2,0.05309055429551133,0.5309055429551132,0.0,0.0,0.0,0.0,5,0.009000062942504883
64,3,0.05255964875255621,0.525596487525562,0.0,0.0,0.0,0.0,5,0.009000062942504883
65,1,0.05203405226503065,0.5203405226503064,0.0,0.0,0.0,0.0,5,0.009000062942504883
66,3,0.05151371174238034,0.5151371174238033,0.0,0.0,0.0,0.0,5,0.009000062942504883
67,0,0.050998574624956536,0.5099857462495653,0.0,0.0,0.0,0.0,5,0.009000062942504883
68,1,0.05048858887870697,0.5048858887870696,0.0,0.0,0.0,0.0,5,0.009000062942504883
69,0,0.0499837029899199,0.4998370298991989,0.0,0.0,0.0,0.0,5,0.009999990463256836
70,1,0.049483865960020704,0.49483865960020695,0.0,0.0,0.0,0.0,5,0.009999990463256836
71,0,0.0489890273004205,0.4898902730042049,0.0,0.0,0.0,0.0,5,0.009999990463256836
72,3,0.048499137027416296,0.48499137027416284,0.0,0.0,0.0,0.0,5,0.009999990463256836
73,1,0.048014145657142134,0.4801414565714212,0.0,0.0,0.0,0.0,5,0.009999990463256836
74,0,0.04753400420057071,0.475340042005707,0.0,0.0,0.0,0.0,5,0.009999990463256836
75,0,0.047058664158565,0.47058664158564995,0.0,0.0,0.0,0.0,5,0.009999990463256836
76,2,0.046588077516979354,0.4658807751697934,0.0,0.0,0.0,0.0,5,0.009999990463256836
77,0,0.04612219674180956,0.4612219674180955,0.0,0.0,0.0,0.0,5,0.009999990463256836
78,0,0.04566097477439147,0.45660974774391455,0.0,0.0,0.0,0.0,5,0.009999990463256836
79,0,0.045204365026647556,0.4520436502664754,0.0,0.0,0.0,0.0,5,0.009999990463256836
80,0,0.04475232137638108,0.44752321376381066,0.0,0.0,0.0,0.0,5,0.010999917984008789
81,0,0.044304798162617266,0.44304798162617254,0.0,0.0,0.0,0.0,5,0.010999917984008789
82,0,0.043861750180991095,0.4386175018099108,0.0,0.0,0.0,0.0,5,0.010999917984008789
83,0,0.04342313267918119,0.4342313267918117,0.0,0.0,0.0,0.0,5,0.010999917984008789
84,0,0.04298890135238938,0.4298890135238936,0.0,0.0,0.0,0.0,5,0.010999917984008789
85,1,0.042559012338865485,0.42559012338865465,0.0,0.0,0.0,0.0,5,0.010999917984008789
86,0,0.04213342221547683,0.4213342221547681,0.0,0.0,0.0,0.0,5,0.010999917984008789
87,0,0.04171208799332206,0.41712087993322045,0.0,0.0,0.0,0.0,5,0.010999917984008789
88,1,0.041294967113388835,0.41294967113388825,0.0,0.0,0.0,0.0,5,0.010999917984008789
89,0,0.04088201744225495,0.40882017442254937,0.0,0.0,0.0,0.0,5,0.010999917984008789
90,1,0.0404731972678324,0.4047319726783239,0.0,0.0,0.0,0.0,5,0.010999917984008789
91,0,0.04006846529515407,0.40068465295154065,0.0,0.0,0.0,0.0,5,0.012000083923339844
92,1,0.039667780642202534,0.39667780642202527,0.0,0.0,0.0,0.0,5,0.012000083923339844
93,0,0.03927110283578051,0.392711028357805,0.0,0.0,0.0,0.0,5,0.012000083923339844
94,0,0.0388783918074227,0.38878391807422696,0.0,0.0,0.0,0.0,5,0.012000083923339844
95,0,0.03848960788934848,0.3848960788934847,0.0,0.0,0.0,0.0,5,0.012000083923339844
96,0,0.038104711810454994,0.38104711810454983,0.0,0.0,0.0,0.0,5,0.012000083923339844
97,0,0.037723664692350445,0.37723664692350434,0.0,0.0,0.0,0.0,5,0.012000083923339844
98,0,0.03734642804542694,0.37346428045426927,0.0,0.0,0.0,0.0,5,0.012000083923339844
99,0,0.03697296376497267,0.36972963764972655,0.0,0.0,0.0,0.0,15,0.013000011444091797
100,0,0.03660323412732295,0.36603234127322926,0.0,0.0,0.0,0.0,15,0.013000011444091797
101,0,0.03623720178604972,0.36237201786049694,0.0,0.0,0.0,0.0,15,0.013000011444091797
102,0,0.035874829768189224,0.358748297681892,0.0,0.0,0.0,0.0,15,0.013000011444091797
103,0,0.03551608147050733,0.35516081470507305,0.0,0.0,0.0,0.0,15,0.013000011444091797
104,0,0.03516092065580226,0.3516092065580223,0.0,0.0,0.0,0.0,15,0.013000011444091797
105,0,0.034809311449244235,0.34809311449244207,0.0,0.0,0.0,0.0,15,0.013000011444091797
106,0,0.03446121833475179,0.34461218334751764,0.0,0.0,0.0,0.0,15,0.01399993896484375
107,0,0.03411660615140427,0.34116606151404244,0.0,0.0,0.0,0.0,15,0.01399993896484375
108,0,0.03377544008989023,0.337754400898902,0.0,0.0,0.0,0.0,15,0.01399993896484375
109,0,0.03343768568899133,0.334376856889913,0.0,0.0,0.0,0.0,15,0.01399993896484375
110,0,0.03310330883210142,0.33103308832101386,0.0,0.0,0.0,0.0,15,0.01399993896484375
111,3,0.03277227574378041,0.3277227574378037,0.0,0.0,0.0,0.0,15,0.01399993896484375
112,3,0.032444552986342606,0.3244455298634257,0.0,0.0,0.0,0.0,15,0.01399993896484375
113,0,0.03212010745647918,0.3212010745647914,0.0,0.0,0.0,0.0,15,0.01399993896484375
114,0,0.03179890638191439,0.3179890638191435,0.0,0.0,0.0,0.0,15,0.01399993896484375
115,0,0.03148091731809525,0.31480917318095203,0.0,0.0,0.0,0.0,15,0.01399993896484375
116,3,0.031166108144914297,0.3116610814491425,0.0,0.0,0.0,0.0,15,0.014999866485595703
117,3,0.030854447063465153,0.30854447063465107,0.0,0.0,0.0,0.0,15,0.014999866485595703
118,0,0.030545902592830503,0.30545902592830454,0.0,0.0,0.0,0.0,15,0.014999866485595703
119,1,0.030240443566902198,0.3024044356690215,0.0,0.0,0.0,0.0,15,0.014999866485595703
120,3,0.029938039131233177,0.29938039131233124,0.0,0.0,0.0,0.0,15,0.014999866485595703
121,0,0.029638658739920845,0.2963865873992079,0.0,0.0,0.0,0.0,15,0.014999866485595703
122,0,0.029342272152521637,0.29342272152521587,0.0,0.0,0.0,0.0,15,0.014999866485595703
123,0,0.02904884943099642,0.2904884943099637,0.0,0.0,0.0,0.0,15,0.014999866485595703
124,0,0.028758360936686458,0.28758360936686406,0.0,0.0,0.0,0.0,15,0.014999866485595703
125,0,0.028470777327319594,0.2847077732731954,0.0,0.0,0.0,0.0,15,0.016000032424926758
126,0,0.028186069554046397,0.28186069554046345,0.0,0.0,0.0,0.0,15,0.016000032424926758
127,0,0.027904208858505933,0.2790420885850588,0.0,0.0,0.0,0.0,15,0.016000032424926758
128,0,0.027625166769920873,0.2762516676992082,0.0,0.0,0.0,0.0,15,0.016000032424926758
129,1,0.027348915102221663,0.27348915102221616,0.0,0.0,0.0,0.0,15,0.016000032424926758
130,3,0.027075425951199446,0.270754259511994,0.0,0.0,0.0,0.0,15,0.016000032424926758
131,0,0.026804671691687453,0.26804671691687404,0.0,0.0,0.0,0.0,15,0.016000032424926758
132,0,0.02653662497477058,0.2653662497477053,0.0,0.0,0.0,0.0,15,0.016000032424926758
133,0,0.026271258725022874,0.2627125872502282,0.0,0.0,0.0,0.0,15,0.016000032424926758
134,0,0.026008546137772644,0.2600854613777259,0.0,0.0,0.0,0.0,15,0.016000032424926758
135,3,0.025748460676394917,0.2574846067639487,0.0,0.0,0.0,0.0,15,0.01699995994567871
136,0,0.025490976069630966,0.2549097606963092,0.0,0.0,0.0,0.0,15,0.01699995994567871
137,0,0.025236066308934657,0.2523606630893461,0.0,0.0,0.0,0.0,15,0.01699995994567871
138,0,0.02498370564584531,0.24983705645845267,0.0,0.0,0.0,0.0,15,0.01699995994567871
139,2,0.024733868589386858,0.24733868589386815,0.0,0.0,0.0,0.0,15,0.01699995994567871
140,0,0.02448652990349299,0.24486529903492946,0.0,0.0,0.0,0.0,15,0.01699995994567871
141,0,0.02424166460445806,0.24241664604458016,0.0,0.0,0.0,0.0,15,0.01699995994567871
142,0,0.02399924795841348,0.23999247958413436,0.0,0.0,0.0,0.0,15,0.01699995994567871
