,Action,Epsilon,Error,Max V,Mean V,Reward,State,Time
46,,0.01,0.01240551811920021,44.114126241637905,14.835616934910387,44.114126241637905,,1.3600001335144043
47,,0.01,0.01094166698113419,44.306907958102244,15.017492544811288,44.306907958102244,,1.3880000114440918
48,,0.01,0.009650550277358505,44.495029827714184,15.198399180508359,44.495029827714184,,1.4170000553131104
49,,0.01,0.008511785344634148,44.6784435060067,15.373328736758625,44.6784435060067,,1.446000099182129
50,,0.01,0.007507394673968548,44.85756329451054,15.546835621634472,44.85756329451054,,1.4730000495910645
51,,0.01,0.00662152210244038,45.03236496256626,15.7150374073646,45.03236496256626,,1.500999927520752
52,,0.01,0.00584018249435303,45.20318391538633,15.881490823770143,45.20318391538633,,1.5290000438690186
53,,0.01,0.005151040960020836,45.37001415126556,16.04318778978067,45.37001415126556,,1.556999921798706
54,,0.01,0.004543218126737969,45.53312918091664,16.202906763882005,45.53312918091664,,1.5850000381469727
55,,0.01,0.004007118387786335,45.69253667459827,16.358320963734307,45.69253667459827,,1.6119999885559082
56,,0.01,0.0035342784180265596,45.84846149520477,16.511603911223332,45.84846149520477,,1.6400001049041748
57,,0.01,0.003117233564701394,46.00092146011418,16.660957397023843,46.00092146011418,,1.6679999828338623
58,,0.01,0.0027494000040704236,46.150103109058385,16.808083869465026,46.150103109058385,,1.696000099182129
59,,0.01,0.0024249708035917195,46.296031683823315,16.95159583957564,46.296031683823315,,1.7230000495910645
60,,0.01,0.0021388242487709874,46.43886345173888,17.092828836365264,46.43886345173888,,1.750999927520752
61,,0.01,0.0018864429874199118,46.578628979519756,17.23071442938705,46.578628979519756,,1.7799999713897705
62,,0.01,0.0016638427149047175,46.71546054318544,17.36630227062335,46.71546054318544,,1.808000087738037
63,,0.01,0.001467509274551304,46.84939241899176,17.49877170006213,46.84939241899176,,1.8370001316070557
64,,0.01,0.0012943431801559768,46.98053779535027,17.62894955489348,46.98053779535027,,1.8640000820159912
65,,0.01,0.0011416106849004848,47.10893341854997,17.756207505965147,47.10893341854997,,1.8919999599456787
66,,0.01,0.0010069006240804868,47.234677220900316,17.881198650099012,47.234677220900316,,1.9200000762939453
67,,0.01,0.0008880863504430181,47.357807470942504,18.00344387768868,47.357807470942504,,1.9479999542236328
68,,0.01,0.0007832921610955168,47.478409841637095,18.123460737492866,47.478409841637095,,1.9760000705718994
69,,0.01,0.0006908636860849526,47.596523402286,18.24088581793542,47.596523402286,,2.009000062942505
70,,0.01,0.0006093417711312554,47.71222391324101,18.35613084591652,47.71222391324101,,2.0399999618530273
71,,0.01,0.0005374394421409079,47.82555069848334,18.468922045882795,47.82555069848334,,2.069999933242798
72,,0.01,0.0004740215879692755,47.936571446221826,18.57958846248431,47.936571446221826,,2.0989999771118164
73,,0.01,0.0004180870405967596,48.04532532488994,18.687925696512124,48.04532532488994,,2.128000020980835
74,,0.01,0.0003687527698126303,48.1518733965872,18.794198125513976,48.1518733965872,,2.1560001373291016
75,,0.01,0.0003252399429740649,48.256254369079066,18.898254980140692,48.256254369079066,,2.184000015258789
76,,0.01,0.0002868616297000415,48.3585238169853,19.000309998978743,48.3585238169853,,2.2120001316070557
77,,0.01,0.0002530119573975753,48.4587197634937,19.100253806421005,48.4587197634937,,2.240000009536743
78,,0.01,0.0002231565464221319,48.55689319469306,19.198260428101932,48.55689319469306,,2.2680001258850098
